state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2017,"471,079","63,810","161,311","214,751","31,207","3,309,607","137,386","309,557","1,029,982","709,100","278,878","528,019","316,685","628,878","555,404","167,848","596,006","525,791","166,364","1,281,507","1,130,179","333,016","803,216","651,290","177,476","35,578","21,601","29,440","32,057","49,520","57,213"
Alaska ,2017,"73,053","10,416","27,892","29,966","4,779","481,561","14,246","25,790","133,132","126,985","42,724","86,444","52,240","118,149","106,986","28,098","97,124","91,616","31,021","183,247","170,158","54,192","83,041","72,765","25,373","45,018","24,222","35,868","41,758","56,914","75,748"
Arizona ,2017,"672,180","109,734","226,131","285,153","51,162","4,711,362","254,700","350,198","1,136,493","1,178,809","408,070","863,062","520,030","953,327","845,756","275,199","859,457","738,967","269,517","1,697,728","1,467,151","485,351","1,200,850","1,054,590","353,025","36,923","22,121","28,821","35,802","51,197","65,573"
Arkansas ,2017,"287,448","38,290","98,609","127,968","22,581","2,008,398","92,735","174,807","683,285","443,935","143,522","301,294","168,820","382,786","346,590","102,015","370,996","326,666","100,639","757,592","658,804","166,309","497,024","408,796","101,151","34,062","23,439","29,023","31,916","46,483","60,011"
California ,2017,"3,799,994","399,555","1,174,092","1,823,319","403,028","26,679,273","2,459,993","1,989,309","5,541,182","5,641,881","2,070,661","5,616,449","3,359,798","6,018,225","5,390,200","2,181,935","5,232,877","4,357,054","1,909,936","9,923,354","8,078,704","3,159,887","5,504,817","4,404,013","1,724,489","41,122","22,648","30,918","38,296","60,940","85,555"
Colorado ,2017,"522,727","59,021","168,994","229,538","65,174","3,822,068","129,351","190,285","815,595","798,831","313,309","994,894","579,803","867,170","804,127","366,950","762,156","686,586","337,370","1,419,043","1,307,782","572,582","773,699","703,937","297,795","42,324","26,069","32,385","37,835","52,074","67,553"
Connecticut ,2017,"352,052","37,246","99,162","155,566","60,078","2,493,854","102,064","137,225","676,911","411,854","201,193","533,791","430,816","444,141","408,392","188,577","421,380","387,994","185,306","1,027,239","940,251","394,648","601,094","517,928","196,076","48,506","25,393","34,473","42,231","61,520","80,966"
Delaware ,2017,"83,940","10,012","28,306","38,035","7,587","673,686","23,460","40,091","218,309","127,966","51,777","121,442","90,641","130,949","120,208","40,404","111,068","98,090","36,554","258,452","238,296","85,014","173,217","153,541","50,111","41,815","26,364","32,626","36,577","57,157","73,360"
Florida ,2017,"1,763,443","268,822","547,776","783,886","162,959","15,020,177","710,891","1,035,042","4,330,040","2,982,278","1,507,434","2,839,500","1,614,992","2,707,837","2,446,928","811,471","2,535,767","2,260,098","824,956","5,561,341","4,954,200","1,615,423","4,215,232","3,613,018","1,202,642","33,638","21,666","26,826","32,230","45,651","60,959"
Georgia ,2017,"1,018,588","156,032","349,387","419,969","93,200","6,896,026","313,025","580,411","1,936,501","1,394,047","540,564","1,311,611","819,867","1,421,366","1,259,940","453,269","1,384,136","1,215,438","483,148","2,688,674","2,374,961","834,082","1,401,850","1,152,251","360,979","37,173","21,993","29,437","35,055","51,915","65,479"
