Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher,Bachelor's degree or higher,Population 45 to 64 years,High school graduate or higher,Bachelor's degree or higher,Population 65 years and over,High school graduate or higher,Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree,    Graduate or professional degree,PERCENT IMPUTED,    Educational attainment
Alabama Total Estimate,"487,402",16.80%,28.90%,47.20%,7.10%,"3,209,646",5.30%,10.70%,31.30%,22.00%,7.40%,14.70%,8.60%,84.00%,23.30%,"608,843",86.90%,26.20%,"616,420",87.20%,26.20%,"1,284,024",85.60%,23.10%,"700,359",75.50%,18.40%,,31.00%,15.80%,12.60%,4.40%,,"31,322","18,642","25,485","30,525","45,124","55,943",,5.60%
Alaska Total Estimate,"79,590",14.80%,40.60%,39.10%,5.50%,"464,594",3.00%,5.00%,28.00%,27.70%,8.20%,17.10%,10.90%,92.00%,28.00%,"109,331",92.60%,24.10%,"95,782",93.30%,30.60%,"197,362",93.50%,29.30%,"62,119",84.30%,26.90%,,20.60%,10.70%,6.70%,3.20%,,"41,288","23,058","30,604","41,092","51,436","68,881",,4.60%
Arizona Total Estimate,"653,206",17.60%,30.20%,45.30%,7.00%,"4,280,464",6.40%,7.90%,24.30%,25.70%,8.40%,17.20%,10.20%,85.70%,27.30%,"875,914",85.70%,25.40%,"830,584",85.20%,29.70%,"1,602,880",87.00%,27.70%,"971,086",84.00%,26.50%,,32.00%,16.80%,11.40%,5.40%,,"32,447","17,773","25,923","32,278","46,668","60,562",,6.40%
Arkansas Total Estimate,"288,120",14.60%,34.00%,44.80%,6.60%,"1,949,382",5.40%,9.80%,35.20%,22.50%,6.10%,13.80%,7.20%,84.80%,21.00%,"379,413",87.80%,22.40%,"368,925",87.10%,25.10%,"759,937",86.30%,20.80%,"441,107",77.50%,16.70%,,30.10%,16.60%,13.50%,4.30%,,"30,191","20,692","25,280","28,590","42,377","54,099",,4.40%
California Total Estimate,"4,022,340",14.70%,28.50%,47.90%,8.90%,"24,779,784",10.10%,8.40%,20.60%,22.10%,7.90%,19.60%,11.30%,81.50%,30.90%,"5,474,318",84.90%,31.80%,"5,175,188",80.40%,32.80%,"9,530,885",81.80%,30.80%,"4,599,393",78.10%,28.00%,,26.60%,16.00%,11.40%,5.40%,,"36,008","18,675","26,921","35,524","53,033","76,648",,6.00%
Colorado Total Estimate,"511,621",15.00%,28.00%,46.40%,10.50%,"3,444,654",4.00%,5.40%,21.80%,22.90%,8.40%,23.80%,13.70%,90.60%,37.50%,"756,564",90.00%,37.50%,"708,732",90.20%,40.30%,"1,368,419",92.10%,38.10%,"610,939",88.40%,32.80%,,26.90%,13.30%,10.00%,4.50%,,"36,870","20,886","28,486","33,248","47,782","60,889",,5.70%
Connecticut Total Estimate,"339,603",12.40%,29.50%,45.10%,13.00%,"2,457,978",4.20%,6.00%,27.80%,17.60%,7.40%,20.50%,16.60%,89.90%,37.10%,"432,609",92.20%,40.20%,"458,041",92.20%,42.20%,"1,035,304",91.90%,37.90%,"532,024",82.00%,28.50%,,24.30%,11.30%,7.80%,2.90%,,"42,907","21,626","31,740","38,638","57,724","75,271",,4.60%
Delaware Total Estimate,"93,560",17.00%,30.40%,43.50%,9.00%,"618,612",4.10%,7.40%,31.50%,20.30%,7.20%,18.10%,11.40%,88.50%,29.50%,"113,848",88.50%,32.40%,"112,221",90.30%,32.70%,"251,730",90.70%,29.40%,"140,813",83.10%,24.90%,,24.70%,9.10%,7.60%,3.90%,,"38,151","20,732","28,820","37,243","49,550","64,957",,3.90%
District of Columbia Total Estimate,"83,340",11.50%,22.60%,41.70%,24.20%,"439,531",4.40%,7.00%,18.40%,14.00%,3.20%,23.00%,30.00%,88.60%,53.00%,"138,878",92.80%,68.20%,"85,596",91.90%,57.50%,"143,156",86.20%,43.10%,"71,901",81.30%,37.80%,,34.50%,22.80%,15.60%,5.10%,,"52,393","20,642","29,874","35,725","60,104","82,110",,7.60%
Florida Total Estimate,"1,812,848",16.30%,30.60%,45.40%,7.70%,"13,503,747",5.30%,8.20%,29.80%,20.80%,9.20%,17.30%,9.60%,86.50%,26.80%,"2,381,017",87.90%,26.90%,"2,408,804",88.50%,29.30%,"5,205,099",88.30%,27.30%,"3,508,827",81.50%,24.30%,,28.90%,16.00%,11.60%,5.70%,,"30,787","17,446","24,512","30,604","41,876","57,375",,7.20%
Georgia Total Estimate,"1,020,360",18.30%,30.50%,44.00%,7.20%,"6,403,838",5.60%,9.40%,28.30%,21.40%,7.10%,17.80%,10.40%,85.00%,28.20%,"1,349,901",85.00%,28.50%,"1,392,560",88.20%,32.20%,"2,522,021",87.00%,28.90%,"1,139,356",76.60%,21.50%,,31.40%,17.80%,12.70%,5.10%,,"32,362","18,613","25,545","31,157","48,704","60,720",,5.90%
Hawaii Total Estimate,"137,151",8.30%,39.50%,43.50%,8.70%,"952,281",4.30%,5.30%,28.30%,22.00%,10.00%,19.60%,10.50%,90.40%,30.10%,"199,308",94.40%,29.30%,"175,142",93.20%,31.80%,"367,408",92.10%,32.10%,"210,423",81.20%,25.80%,,19.60%,11.60%,8.60%,5.00%,,"36,030","21,673","29,797","34,077","44,847","60,084",,6.10%
Idaho Total Estimate,"158,190",14.10%,33.10%,46.20%,6.70%,"1,012,786",4.10%,6.10%,27.70%,27.60%,9.00%,17.30%,8.20%,89.80%,25.50%,"210,429",90.80%,24.40%,"196,439",90.70%,27.20%,"394,886",91.00%,26.30%,"211,032",85.60%,23.40%,,24.80%,14.20%,10.60%,5.70%,,"29,142","20,534","22,708","27,033","38,563","59,350",,6.90%
Illinois Total Estimate,"1,253,309",14.10%,27.40%,46.60%,11.90%,"8,558,895",5.60%,6.80%,27.00%,21.40%,7.60%,19.70%,12.00%,87.60%,31.60%,"1,782,088",90.30%,38.30%,"1,699,779",88.90%,36.20%,"3,381,316",89.30%,30.90%,"1,695,712",80.10%,21.50%,,26.30%,13.60%,10.00%,4.70%,,"36,888","20,616","27,219","34,384","50,919","66,698",,4.60%
Indiana Total Estimate,"668,970",17.90%,29.50%,44.20%,8.40%,"4,278,945",4.00%,8.40%,35.30%,20.70%,8.10%,15.00%,8.40%,87.60%,23.40%,"831,240",88.60%,28.40%,"822,480",89.30%,27.00%,"1,735,799",89.50%,22.50%,"889,426",81.20%,17.30%,,27.20%,12.20%,10.20%,4.10%,,"32,150","19,425","27,577","31,354","43,844","58,506",,4.40%
Iowa Total Estimate,"314,527",11.50%,26.00%,52.20%,10.40%,"2,036,993",3.20%,5.20%,32.30%,21.90%,11.10%,18.10%,8.20%,91.60%,26.30%,"389,631",93.20%,32.90%,"360,444",92.80%,32.50%,"817,300",93.40%,25.00%,"469,618",86.10%,18.40%,,22.60%,11.00%,9.20%,3.60%,,"34,257","21,889","28,013","32,198","44,862","59,587",,3.70%
Kansas Total Estimate,"301,404",13.90%,28.00%,50.10%,8.10%,"1,863,224",3.70%,6.10%,27.30%,24.40%,8.00%,19.50%,10.90%,90.20%,30.40%,"383,049",89.80%,33.10%,"345,040",90.60%,34.40%,"740,911",91.90%,31.00%,"394,224",87.10%,23.20%,,25.40%,12.70%,9.20%,3.40%,,"33,443","21,582","26,408","31,134","42,863","56,650",,3.30%
Kentucky Total Estimate,"426,975",14.40%,35.20%,43.30%,7.20%,"2,935,461",7.00%,9.30%,34.10%,20.70%,7.20%,12.90%,8.90%,83.80%,21.80%,"561,750",89.40%,25.70%,"567,749",88.40%,25.60%,"1,192,336",85.80%,21.40%,"613,626",70.20%,15.40%,,32.70%,16.60%,12.70%,4.30%,,"31,263","18,551","25,738","30,555","42,404","52,346",,4.30%
