state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2011,"485,274",17.70%,29.10%,46.30%,6.90%,"3,193,078",5.60%,11.70%,30.90%,22.20%,7.40%,13.90%,8.40%,"609,611",84.30%,24.80%,"613,286",85.60%,24.70%,"1,296,391",85.40%,22.50%,"673,790",73.50%,17.30%,"30,910","19,049","25,069","30,318","44,800","54,200"
Alaska ,2011,"77,633",18.50%,35.90%,40.20%,5.40%,"456,862",3.10%,5.20%,28.10%,29.90%,7.40%,16.90%,9.50%,"106,279",93.40%,24.00%,"93,356",93.50%,30.50%,"198,860",93.10%,26.00%,"58,367",81.40%,25.20%,"40,812","22,342","32,173","40,478","50,422","69,222"
Arizona ,2011,"647,258",19.00%,30.50%,44.10%,6.40%,"4,211,223",6.20%,8.10%,24.60%,26.20%,8.30%,17.10%,9.50%,"866,715",85.80%,25.40%,"824,699",84.00%,27.50%,"1,596,656",87.20%,27.20%,"923,153",84.50%,25.80%,"32,165","17,925","24,995","32,066","46,485","57,249"
Arkansas ,2011,"283,366",15.50%,32.70%,45.50%,6.30%,"1,943,427",6.20%,10.00%,35.70%,22.00%,5.80%,13.10%,7.20%,"382,514",86.90%,22.70%,"365,721",87.30%,23.20%,"766,567",85.40%,20.20%,"428,625",75.00%,15.90%,"28,700","18,392","24,009","27,926","42,220","56,579"
California ,2011,"3,980,604",15.80%,28.80%,47.20%,8.20%,"24,443,872",10.30%,8.60%,21.10%,22.10%,7.70%,19.20%,11.10%,"5,404,486",84.20%,30.50%,"5,169,975",80.00%,32.40%,"9,471,358",81.90%,30.50%,"4,398,053",76.90%,27.20%,"35,561","18,261","26,941","35,303","52,824","76,253"
Colorado ,2011,"500,909",15.90%,28.40%,45.10%,10.50%,"3,387,310",4.00%,5.80%,22.40%,22.80%,8.30%,23.30%,13.40%,"744,951",90.00%,37.40%,"709,547",89.40%,39.50%,"1,357,315",92.40%,37.50%,"575,497",86.40%,30.50%,"36,435","21,397","28,344","33,581","46,180","60,987"
Connecticut ,2011,"332,686",14.50%,28.30%,44.60%,12.70%,"2,444,403",4.40%,6.50%,27.70%,17.90%,7.30%,20.50%,15.70%,"428,130",90.60%,39.20%,"467,003",91.60%,40.70%,"1,033,956",91.50%,37.00%,"515,314",80.70%,27.90%,"42,417","21,965","32,869","38,371","56,878","75,875"
Delaware ,2011,"91,390",16.20%,27.40%,46.20%,10.30%,"611,120",4.70%,8.30%,31.60%,19.60%,7.00%,17.10%,11.70%,"114,197",85.20%,31.50%,"114,001",90.30%,32.90%,"249,010",90.00%,28.20%,"133,912",80.00%,24.40%,"38,386","22,072","31,824","37,279","50,310","66,546"
Florida ,2011,"1,795,011",17.70%,30.20%,44.40%,7.70%,"13,267,581",5.60%,8.40%,30.40%,20.80%,8.90%,16.50%,9.30%,"2,328,282",87.10%,26.10%,"2,408,924",88.30%,28.40%,"5,170,980",87.80%,26.40%,"3,359,395",80.60%,23.00%,"30,608","17,182","24,452","30,565","41,888","57,025"
Georgia ,2011,"1,018,180",20.50%,31.20%,40.90%,7.30%,"6,308,961",5.80%,9.80%,29.30%,20.80%,6.70%,17.70%,9.80%,"1,326,493",85.30%,29.00%,"1,403,082",87.30%,31.70%,"2,503,491",86.10%,27.80%,"1,075,895",75.10%,19.90%,"31,837","17,318","25,312","30,840","48,405","60,916"
