state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2012,"487,402",16.80%,28.90%,47.20%,7.10%,"3,209,646",5.30%,10.70%,31.30%,22.00%,7.40%,14.70%,8.60%,"608,843",86.90%,26.20%,"616,420",87.20%,26.20%,"1,284,024",85.60%,23.10%,"700,359",75.50%,18.40%,"31,322","18,642","25,485","30,525","45,124","55,943"
Alaska ,2012,"79,590",14.80%,40.60%,39.10%,5.50%,"464,594",3.00%,5.00%,28.00%,27.70%,8.20%,17.10%,10.90%,"109,331",92.60%,24.10%,"95,782",93.30%,30.60%,"197,362",93.50%,29.30%,"62,119",84.30%,26.90%,"41,288","23,058","30,604","41,092","51,436","68,881"
Arizona ,2012,"653,206",17.60%,30.20%,45.30%,7.00%,"4,280,464",6.40%,7.90%,24.30%,25.70%,8.40%,17.20%,10.20%,"875,914",85.70%,25.40%,"830,584",85.20%,29.70%,"1,602,880",87.00%,27.70%,"971,086",84.00%,26.50%,"32,447","17,773","25,923","32,278","46,668","60,562"
Arkansas ,2012,"288,120",14.60%,34.00%,44.80%,6.60%,"1,949,382",5.40%,9.80%,35.20%,22.50%,6.10%,13.80%,7.20%,"379,413",87.80%,22.40%,"368,925",87.10%,25.10%,"759,937",86.30%,20.80%,"441,107",77.50%,16.70%,"30,191","20,692","25,280","28,590","42,377","54,099"
California ,2012,"4,022,340",14.70%,28.50%,47.90%,8.90%,"24,779,784",10.10%,8.40%,20.60%,22.10%,7.90%,19.60%,11.30%,"5,474,318",84.90%,31.80%,"5,175,188",80.40%,32.80%,"9,530,885",81.80%,30.80%,"4,599,393",78.10%,28.00%,"36,008","18,675","26,921","35,524","53,033","76,648"
Colorado ,2012,"511,621",15.00%,28.00%,46.40%,10.50%,"3,444,654",4.00%,5.40%,21.80%,22.90%,8.40%,23.80%,13.70%,"756,564",90.00%,37.50%,"708,732",90.20%,40.30%,"1,368,419",92.10%,38.10%,"610,939",88.40%,32.80%,"36,870","20,886","28,486","33,248","47,782","60,889"
Connecticut ,2012,"339,603",12.40%,29.50%,45.10%,13.00%,"2,457,978",4.20%,6.00%,27.80%,17.60%,7.40%,20.50%,16.60%,"432,609",92.20%,40.20%,"458,041",92.20%,42.20%,"1,035,304",91.90%,37.90%,"532,024",82.00%,28.50%,"42,907","21,626","31,740","38,638","57,724","75,271"
Delaware ,2012,"93,560",17.00%,30.40%,43.50%,9.00%,"618,612",4.10%,7.40%,31.50%,20.30%,7.20%,18.10%,11.40%,"113,848",88.50%,32.40%,"112,221",90.30%,32.70%,"251,730",90.70%,29.40%,"140,813",83.10%,24.90%,"38,151","20,732","28,820","37,243","49,550","64,957"
Florida ,2012,"1,812,848",16.30%,30.60%,45.40%,7.70%,"13,503,747",5.30%,8.20%,29.80%,20.80%,9.20%,17.30%,9.60%,"2,381,017",87.90%,26.90%,"2,408,804",88.50%,29.30%,"5,205,099",88.30%,27.30%,"3,508,827",81.50%,24.30%,"30,787","17,446","24,512","30,604","41,876","57,375"
Georgia ,2012,"1,020,360",18.30%,30.50%,44.00%,7.20%,"6,403,838",5.60%,9.40%,28.30%,21.40%,7.10%,17.80%,10.40%,"1,349,901",85.00%,28.50%,"1,392,560",88.20%,32.20%,"2,522,021",87.00%,28.90%,"1,139,356",76.60%,21.50%,"32,362","18,613","25,545","31,157","48,704","60,720"
